seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,pooled_reset,1,44.0,4400,10000,2.9101160333251954,0,0,0
42,pooled_reset,2,50.38,5038,10000,1.8136619713973998,0,0,0
42,pooled_reset,3,52.94,5294,10000,1.6461128628921509,0,0,0
42,pooled_reset,4,53.53,5353,10000,1.5739906315231322,0,0,0
42,pooled_reset,5,54.510000000000005,5451,10000,1.5320796005249024,0,0,0
42,pooled_reset,6,55.089999999999996,5509,10000,1.5015306774902344,0,0,0
42,pooled_reset,7,54.949999999999996,5495,10000,1.4814211194992066,0,0,0
42,pooled_reset,8,55.88999999999999,5589,10000,1.4633079193115235,0,0,0
42,pooled_reset,9,56.330000000000005,5633,10000,1.4467196388435364,0,0,0
42,pooled_reset,10,55.85,5585,10000,1.4351004801559448,0,0,0
42,pooled_reset,11,56.269999999999996,5627,10000,1.4237601613616944,0,0,0
42,pooled_reset,12,56.010000000000005,5601,10000,1.4158730781936646,0,0,0
42,pooled_reset,13,56.96,5696,10000,1.408040676803589,0,0,0
42,pooled_reset,14,57.04,5704,10000,1.4013537754058838,0,0,0
42,pooled_reset,15,57.28,5728,10000,1.3940354488754272,0,0,0
42,pooled_reset,16,57.28,5728,10000,1.3873003395462036,0,0,0
42,pooled_reset,17,57.010000000000005,5701,10000,1.3820833060455322,0,0,0
42,pooled_reset,18,57.269999999999996,5727,10000,1.3784222289276122,0,0,0
42,pooled_reset,19,57.230000000000004,5723,10000,1.371615475845337,0,0,0
42,pooled_reset,20,57.29,5729,10000,1.3695354413604737,0,0,0
42,pooled_reset,21,57.75,5775,10000,1.3639637393951416,0,0,0
42,pooled_reset,22,57.31,5731,10000,1.3611617823028563,0,0,0
42,pooled_reset,23,57.69,5769,10000,1.3573691112518311,0,0,0
42,pooled_reset,24,57.330000000000005,5733,10000,1.3549369010543824,0,0,0
42,pooled_reset,25,57.230000000000004,5723,10000,1.3514480054473876,0,0,0
42,pooled_reset,26,57.84,5784,10000,1.3489510551834107,0,0,0
42,pooled_reset,27,57.45,5745,10000,1.3471139123153686,0,0,0
42,pooled_reset,28,57.74,5774,10000,1.345885284576416,0,0,0
42,pooled_reset,29,57.64,5764,10000,1.3436384559249879,0,0,0
42,pooled_reset,30,57.91,5791,10000,1.340565936050415,0,0,0
43,adaptive_domain,1,0.97,97,10000,3.509943337378502,685440,109172784,2867312
43,adaptive_domain,2,2.03,203,10000,2.7434200170850755,685440,109172784,2867312
43,adaptive_domain,3,3.7699999999999996,377,10000,2.2534595231103896,685440,109172784,2867312
43,adaptive_domain,4,5.029999999999999,503,10000,2.0111966545701025,489600,109172784,2867312
43,adaptive_domain,5,5.17,517,10000,1.878949780972004,489600,109172784,2867312
43,adaptive_domain,6,4.24,424,10000,1.9150628350996972,342720,109172784,2867312
43,adaptive_domain,7,4.390000000000001,439,10000,1.9000795614910126,362304,109172784,2867312
43,adaptive_domain,8,4.9,490,10000,1.8522014278292656,362304,109172784,2867312
43,adaptive_domain,9,5.37,537,10000,1.8266410952103138,362304,109172784,2867312
43,adaptive_domain,10,5.800000000000001,580,10000,1.8397264237046242,352512,109172784,2867312
43,adaptive_domain,11,5.9799999999999995,598,10000,1.8477007072007656,362304,109172784,2867312
43,adaptive_domain,12,6.29,629,10000,1.836248451999575,362304,109172784,2867312
43,adaptive_domain,13,7.07,707,10000,1.8253547403883934,362304,109172784,2867312
43,adaptive_domain,14,7.32,732,10000,1.8479832201766968,352512,109172784,2867312
43,adaptive_domain,15,7.8,780,10000,1.8426118938755989,362304,109172784,2867312
43,adaptive_domain,16,8.41,841,10000,1.82611878126204,362304,109172784,2867312
43,adaptive_domain,17,8.66,866,10000,1.8109969204640388,362304,109172784,2867312
43,adaptive_domain,18,8.959999999999999,896,10000,1.8339338256073,352512,109172784,2867312
43,adaptive_domain,19,9.180000000000001,918,10000,1.8381126382994653,362304,109172784,2867312
43,adaptive_domain,20,9.139999999999999,914,10000,1.8083301417756081,362304,109172784,2867312
43,adaptive_domain,21,8.98,898,10000,1.7855804029142857,362304,109172784,2867312
43,adaptive_domain,22,9.27,927,10000,1.8103604388844967,352512,109172784,2867312
43,adaptive_domain,23,9.06,906,10000,1.8010497024297714,362304,109172784,2867312
43,adaptive_domain,24,9.09,909,10000,1.783896806949377,362304,109172784,2867312
43,adaptive_domain,25,9.08,908,10000,1.7635929893875122,362304,109172784,2867312
43,adaptive_domain,26,8.77,877,10000,1.8082155401206017,352512,109172784,2867312
43,adaptive_domain,27,9.01,901,10000,1.8043601915955543,362304,109172784,2867312
43,adaptive_domain,28,8.95,895,10000,1.7774914233100414,362304,109172784,2867312
