task,round,client_id,is_synthetic,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,gamma,target_lambda_cv,achieved_lambda_cv,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
Fashion-MLP,2,2,False,0.6845025936447325,9.86,0.0994858410058798,8.834477548248683,0.6161275662517987,0.8494880539494967,4197.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.10217790732196841,1.1903804381721765,1.0267271228196129,0.7027973785354189
Fashion-MLP,3,0,False,0.5168739073700621,4.18,0.049402010772776,7.822667357095224,0.1949233660592663,0.9199647048480544,24.021929824561404,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.023326805450397146,0.7040493688405787,0.8873576085120788,0.458651994346192
Fashion-MLP,3,1,False,0.6513071800123252,0.8699999999999974,0.170160006325095,6.598972126458081,0.4256258332980995,0.7205285071162855,627.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.1067245511709437,1.2184228384996132,1.0880260585402601,0.7086391839677819
Fashion-MLP,3,2,False,0.6912104166726062,14.65,0.0994858410058798,8.10470341921737,0.9581593364723144,0.8494880539494967,4197.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.08216126824742029,1.0669235269243789,1.024616332947661,0.7082254824263106
Fashion-MLP,4,0,False,0.6121668084583689,7.429999999999993,0.049402010772776,7.636154136659614,0.236372165092598,0.9199647048480544,24.021929824561404,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.017779781652784883,0.6698369107890165,0.8831252111898737,0.540619942003228
Fashion-MLP,4,1,False,0.7009886842404138,4.619999999999997,0.170160006325095,6.596787141859656,0.473521233243517,0.7205285071162855,627.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.10664989343962758,1.2179623709418612,1.097419649493944,0.769278756158336
Fashion-MLP,4,2,False,0.679990722220168,10.949999999999996,0.0994858410058798,7.908453185081837,1.0398257489543858,0.8494880539494967,4197.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.07650426597484278,1.0320327530590385,1.0194551393161821,0.6932200364546727
Fashion-MLP,5,0,False,0.5653946639003518,7.539999999999999,0.049402010772776,7.367115142362794,0.2878413727811968,0.9199647048480544,24.021929824561404,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.009563641182216816,0.6191621036399917,0.877501096987761,0.4961344378035851
Fashion-MLP,5,1,False,0.6414170858527151,3.8400000000000034,0.170160006325095,6.625136750629702,0.4795164489289671,0.7205285071162855,627.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.10761689424588318,1.2239265556518832,1.1151866285705927,0.7152997574796637
Fashion-MLP,5,2,False,0.6916575221212743,15.68,0.0994858410058798,7.555189977811252,1.0403635614982816,0.8494880539494967,4197.0,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.06599985714165425,0.9672445603859479,1.0073122744416463,0.6967151117426541
AGNews-LSTM,1,0,False,0.4366858628284629,0.0,0.0427715916954834,6.118899105320985,1.6890203052210913,0.8830593279665354,4.710862619808307,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.03908508748527758,0.31911064369945036,1.112602479341892,0.4858577736765012
AGNews-LSTM,1,1,False,0.50056109739004,0.0,0.1187267173297939,4.390445867117222,0.0864229460625425,0.6875600034783163,32.211009174311926,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.03445158551821536,0.3476887600847062,1.1252765244338334,0.5632696519378497
AGNews-LSTM,1,2,False,0.4676299807582091,0.0,0.059670468611799,2.671974412633697,0.1113654474648511,0.8407966857382658,6.993548387096774,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.19385689891275373,-0.6354776723460179,0.7621209962242748,0.3563906267997848
AGNews-LSTM,2,0,False,0.4446543424569,0.2631578947368425,0.0427715916954834,6.159029838723824,1.381123301704744,0.8830593279665354,4.710862619808307,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.037625729515028954,0.32811154673520726,1.1231236413776104,0.49940180425456054
AGNews-LSTM,2,1,False,0.5138541780679753,0.2631578947368425,0.1187267173297939,4.1164888691936286,0.1446710346447762,0.6875600034783163,32.211009174311926,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.04799267541939157,0.2641711861352593,1.0950181724514598,0.5626796629745413
AGNews-LSTM,2,2,False,0.4575739073394684,0.2631578947368425,0.059670468611799,2.787886863527729,0.2161447557739449,0.8407966857382658,6.993548387096774,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.185788579135651,-0.5857145810033165,0.78185818617093,0.3577579052315819
AGNews-LSTM,3,0,False,0.4345184266592065,0.1447368421052637,0.0427715916954834,5.9177756404237964,1.34473217085957,0.8830593279665354,4.710862619808307,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.04652515778935576,0.27322241562144617,1.1086091875363204,0.48171111994822313
AGNews-LSTM,3,1,False,0.5140157895945904,0.1315789473684212,0.1187267173297939,4.073661830289559,0.1431641012626513,0.6875600034783163,32.211009174311926,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.050174846563689236,0.25071217794283907,1.0987622246191044,0.5647811324642976
AGNews-LSTM,3,2,False,0.4611384244910655,0.0263157894736849,0.059670468611799,2.8174481070212973,0.1963524390806943,0.8407966857382658,6.993548387096774,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.18377042027405516,-0.5732671537138468,0.7926285878445746,0.3655114982052252
AGNews-LSTM,4,0,False,0.4455404185122882,0.3026315789473663,0.0427715916954834,6.048668968965031,1.315718706979385,0.8830593279665354,4.710862619808307,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.04165892170842284,0.3032359695311266,1.0835060362277567,0.4827457328415052
AGNews-LSTM,4,1,False,0.5017961120463242,0.3026315789473663,0.1187267173297939,4.456759324329555,0.1601700463664116,0.6875600034783163,32.211009174311926,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.03127735812353229,0.3672664878084382,1.111355739511087,0.5576739891870309
AGNews-LSTM,4,2,False,0.461164100090733,-0.2105263157894761,0.059670468611799,3.1333635015346166,0.3020884336563626,0.8407966857382658,6.993548387096774,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.16312912989519013,-0.4459575716779781,0.8051382242611566,0.37130084464004703
AGNews-LSTM,5,0,False,0.4508023582154688,0.2894736842105239,0.0427715916954834,6.0489377117414485,1.3380987293449913,0.8830593279665354,4.710862619808307,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.04164902387318199,0.30329701655117447,1.0813263007957437,0.4874644463991306
