context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,31,0,accuracy,3,0.24566666666666667,0.06825015262498198,0.1775,0.314
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,31,1,accuracy,3,0.3526666666666667,0.06468062564117119,0.306,0.4265
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,31,2,accuracy,3,0.328,0.07154718722633337,0.255,0.398
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,31,3,accuracy,3,0.195,0.035074919814591154,0.1675,0.2345
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,31,4,accuracy,3,0.2195,0.01899999999999999,0.1985,0.2355
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,32,0,accuracy,3,0.24683333333333332,0.07056970549274905,0.182,0.322
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,32,1,accuracy,3,0.3388333333333333,0.10109690071081968,0.277,0.4555
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,32,2,accuracy,3,0.33016666666666666,0.03467828331006789,0.304,0.3695
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,32,3,accuracy,3,0.17216666666666666,0.05651179817819756,0.115,0.228
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,32,4,accuracy,3,0.23266666666666666,0.013877439725444073,0.22,0.2475
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,33,0,accuracy,3,0.24433333333333335,0.07700216447174282,0.167,0.321
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,33,1,accuracy,3,0.36433333333333334,0.06760978725993251,0.3155,0.4415
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,33,2,accuracy,3,0.3125,0.05269962049199215,0.255,0.3585
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,33,3,accuracy,3,0.19316666666666665,0.05855410603308135,0.141,0.2565
